Compound_ID,Molecular_Weight,H_Bond_Donors,H_Bond_Acceptors,Polar_Surface_Area,Number_of_Rings,Rotatable_Bonds,Antibiotic_Effectiveness,Drug_Efficacy,Antibiotic_Category,Drug_Category
Compound_0,287.27005942368123,7,7,45.40349193915066,0,4,0.13120463296234852,0.3343747652637426,Low_Potency,Less_Effective
Compound_1,575.3571532049581,4,0,92.7352520394413,2,12,0.41555835970803356,0.5278677664107091,Low_Potency,Effective
Compound_2,465.99697090570254,9,2,225.4850491872875,4,5,0.8551383717061409,0.6026723937271179,High_Potency,Effective
Compound_3,399.3292420985183,1,2,201.67337992368482,3,4,0.4581140284779103,0.4041730116946269,Low_Potency,Less_Effective
Compound_4,178.00932022121827,5,8,246.21460069061897,1,0,0.4966009485652888,0.2805810429254556,Low_Potency,Less_Effective
Compound_5,177.99726016810132,4,4,188.56206492052019,1,2,0.2465095254207085,0.1728955112105759,Low_Potency,Less_Effective
Compound_6,129.04180608409973,4,8,98.29880025698057,3,0,0.11581496723741244,0.29990956354084547,Low_Potency,Less_Effective
Compound_7,533.0880728874677,0,8,147.65945849865943,0,10,0.26256385683385464,0.7146953589180582,Low_Potency,Effective
Compound_8,400.5575058716044,1,0,165.25356356183008,0,4,0.34276849286950256,0.21305381963352266,Low_Potency,Less_Effective
Compound_9,454.03628889802275,7,1,19.613954079280987,2,4,0.21662975669784382,0.44468701179329784,Low_Potency,Less_Effective
Compound_10,110.29224714790122,2,4,136.12423977596626,3,11,0.15338647375374656,0.2850796027695911,Low_Potency,Less_Effective
Compound_11,584.9549260809972,9,3,177.3302071181524,0,10,0.5557055601378912,0.5857831475168588,High_Potency,Effective
Compound_12,516.2213204002109,2,9,41.830326000265096,3,12,0.24948239039398737,0.595718646634642,Low_Potency,Effective
Compound_13,206.16955533913807,7,8,195.15792935638927,4,5,0.2535094860888642,0.32411483410986774,Low_Potency,Less_Effective
Compound_14,190.9124836035503,7,6,145.94319512852792,1,7,0.39784283439223994,0.23759409588008398,Low_Potency,Less_Effective
Compound_15,191.7022549267169,1,5,238.05544642439867,1,9,0.32754929575800057,0.23997968627284788,Low_Potency,Less_Effective
Compound_16,252.12112147976887,7,6,10.605574551722924,1,11,0.3691146738109424,0.4724564363625239,Low_Potency,Less_Effective
Compound_17,362.37821581611894,0,0,66.33153438886674,3,0,0.17321176049390857,0.20607382066643512,Low_Potency,Less_Effective
Compound_18,315.9725093210579,5,0,150.38846982495602,3,3,0.5042893048252408,0.12068457256113038,High_Potency,Less_Effective
